カテゴリー,ペルシア語,ローマ字,日本語,英語,備考,レベル
カレンダー,تقویم میلادی,taghvime miladi,グレゴリオ暦,Gregorian calendar,,A2
カレンダー,تقویم قمری,taghvime ghamari,旧暦（イスラム暦）,Islamic lunar calendar,,A2
カレンダー,تقویم,taghvim,カレンダー,calendar,,A2
食べ物・台所,قابلمه,ghablame,鍋,pot,,A1
食べ物・台所,بشقاب,boshghab,皿,plate/dish,,A1
食べ物・台所,ماهی تابه,mahi tabe,フライパン,frying pan,,A1
食べ物・台所,آرد,ard,小麦粉,flour,,A1
食べ物・台所,عسل,asal,はちみつ,honey,,A1
食べ物・台所,خوراکی / خوردنی,khoraki / khordani,食べ物,food/edible,,A1
食べ物・台所,بسته / پاکت,baste / paket,パック・包み,package/packet,,A1
日用品,مسواک,mesvak,歯ブラシ,toothbrush,,A1
日用品,خمیر دندان,khamir dandan,歯磨き粉,toothpaste,,A1
日用品,برس,bores,ブラシ,brush,,A1
日用品,شانه,shane,櫛,comb,,A1
日用品,کوله پشتی,kule poshti,バックパック,backpack,,A1
日用品,حوله,hole,タオル,towel,,A1
日用品,سوزن,suzan,針,needle,,A1
日用品,نخ,nakh,糸,thread,タバコ1本の数え方にも使う,A1
日用品,ماژیک,mazhik,マーカー,marker,,A1
日用品,خط کش,khat kesh,定規,ruler,,A1
日用品,ساعت مچی,saat mochi,腕時計,wristwatch,,A1
日用品,دفتر,daftar,ノート,notebook,,A1
日用品,چتر,chatr,傘,umbrella,,A1
日用品,آلبوم,albom,アルバム,album,,A1
日用品,جعبه,jabe,箱,box,,A1
日用品,تلفن همراه / موبایل,telefone hamrah / mobail,携帯電話,mobile phone,,A1
動物,نهنگ,nahang,鯨,whale,,A1
動物,فیل,fil,象,elephant,,A1
動物,موش,moosh,ネズミ,mouse/rat,,A1
動物,میمون,meymoon,猿,monkey,,A1
動物,طاووس,tavoos,孔雀,peacock,,A1
動物,کبوتر / کفتر,kabutar / kaftar,鳩,pigeon/dove,,A1
動物,پنگوئن,panguan,ペンギン,penguin,,A1
抽象・概念,مجسمه,mojasame,彫像,statue,,B2
抽象・概念,جسم,jesm,物体,body/thing,,B2
抽象・概念,سایه,saye,影,shadow,,B2
抽象・概念,منظره,manzare,景色・風景,scenery/view,,B2
抽象・概念,مرکز,markaz,センター・中心,center,,B2
抽象・概念,دنیا / جهان,donya / jahan,世界,world,,B2
抽象・概念,کلمه / لغت,kalame / loghat,単語,word,,B2
抽象・概念,قیمت,gheymat,値段,price,,B2
抽象・概念,تخفیف,takhfif,割引,discount,,B2
抽象・概念,نقد,naghd,現金,cash,,B2
抽象・概念,جفت,joft,ペア,pair,,B2
抽象・概念,امتحان,emtehan,試験,exam,,B2
抽象・概念,نظر,nazar,意見,opinion,,B2
抽象・概念,شماره,shomare,番号,number,,B2
抽象・概念,امتیاز,emtiyaz,スコア,score,,B2
抽象・概念,صدا,seda,声・音,sound/voice,,B2
抽象・概念,خطر,khatar,危険,danger,,B2
抽象・概念,وسیله,vasile,道具・もの,tool/thing,,B2
抽象・概念,شی / چیز,shey / chiz,物体・もの,thing/object,,B2
抽象・概念,لکه,lakke,シミ・汚れ,stain,,B2
抽象・概念,وزن,vazn,重さ,weight,,B2
抽象・概念,طلا,tala,金,gold,,B2
抽象・概念,نفت,naft,石油,oil,,B2
抽象・概念,گاز,gaz,ガス,gas,,B2
抽象・概念,تحریم,tahrim,制裁,sanctions,,B2
抽象・概念,مکالمه,mokaleme,会話,conversation,,B2
抽象・概念,درآمد,daramad,収入,income,,B2
抽象・概念,جشنواره / فستیوال,jashnvare / festival,祭り,festival,,B2
抽象・概念,رویداد,ruydad,イベント,event,,B2
抽象・概念,منفی,manfi,マイナス・否定的,negative,,B2
抽象・概念,طبقه,tabaghe,階,floor/story,,B2
抽象・概念,طبقه همکف,tabaghe hamkaf,1階,ground floor,,B2
抽象・概念,گرمایش مرکزی,garmayeshe markazi,セントラルヒーター,central heating,,B2
抽象・概念,تظاهرات,tazahorat,デモ,demonstration/protest,,B2
抽象・概念,سیاسی,siyasi,政治的,political,,B2
抽象・概念,مشروب,mashrub,飲み物・酒,drink/alcohol,,B2
抽象・概念,اشتباه / غلط,eshtebah / ghalat,間違い,mistake/wrong,,B2
抽象・概念,بقیه,baghiye,残りの,the rest,,B2
抽象・概念,غریبه,gharibe,知らない人,stranger,,B2
抽象・概念,همکلاسی,hamkelasi,同級生,classmate,,B2
抽象・概念,کسل کننده,kesel konande,つまらない,boring,,B2
抽象・概念,پرجمعیت,porjamiyat,人口が多い,populated,,B2
抽象・概念,مشکلات گوارشی,moshkelate govareshi,消化器の問題,digestive problems,,B2
抽象・概念,یکبار مصرف,yekbar masraf,使い捨て,disposable,,B2
抽象・概念,سرفه,sorfe,咳,cough,,B2
方向・位置,سمت راست,samte rast,右側,right side,,B1
方向・位置,وسط,vasat,真ん中,middle/center,,B1
方向・位置,روبرو,ru be ru,正面・向かい,facing/opposite,,B1
方向・位置,پیش,pish,前・以前,before/in front of,様々な意味あり,B1
口語表現,آره / باله,are / bale,はい・そうですね,yes (informal),会話の相づち,B1
口語表現,شیطون,sheytun,いたずらっ子,naughty (kids),= شیطان の口語,B1
口語表現,دیگه,dige,他の,other/else (informal),,B1
